text,screen_name,tweet_date,tweet_url,image_url,reply_text,related_urls,mentions_list,hashtag_list,week,year,tweet_id,url_check,alt_text
Not claiming anything causal here but thought this was interesting/sad (data from last week's #tidytuesday and @OurWorldInData) #rstats #dataviz https://t.co/Piu8vYQ3Gc,ResearchingDave,2021-01-01T18:25:03Z,https://twitter.com/ResearchingDave/status/1345073569613623299/photo/1,http://pbs.twimg.com/media/EqqpRuLXAAY6NYN.jpg,NA,NA,OurWorldInData,"tidytuesday, rstats, dataviz",1,2021,1345073569613623296,Images-only,Image
"For the last #TidyTuesday of 2020, I tried to play around with gganimate. The overall graphic isn't as polished as I'd like it to be, but my dots are moving so at least I got that part right! https://t.co/z582P1yZgu",joshuapersi,2021-01-01T21:50:01Z,https://twitter.com/joshuapersi/status/1345125149276835851/photo/1,http://pbs.twimg.com/tweet_video_thumb/EqrXcloXcAAB4Tc.jpg,NA,NA,NA,TidyTuesday,1,2021,1345125149276835840,Images-only,
"I took a short break today and look back at the positive moments of 2020 of my #datavisualization journey.

📝 https://t.co/uhJRSEhatz

I wish you all a happy new year!
#ggplot2 #rstats #dataviz #TidyTuesday #SWDchallenge #NewYear2021 https://t.co/Wu71Ey24Ab",CedScherer,2021-01-01T22:44:59Z,https://twitter.com/CedScherer/status/1345138983374893056/photo/1,http://pbs.twimg.com/media/EqrjIVZXEAALXkX.jpg,NA,https://cedricscherer.netlify.app/2021/01/01/review-2020-personal-dataviz-highlights/,NA,"datavisualization, ggplot2, rstats, dataviz, TidyTuesday, SWDchallenge, NewYear2021",1,2021,1345138983374893056,Links included,Image
"RObservations #6- #TidyTuesday – Analyzing #data on the Australian Bush Fires
RObservations #6- #TidyTuesday – Analyzing #data on the Australian Bush Fires Posted on December 31, 2020 by Benjamin S ..
https://t.co/1Ssya7e2I5 https://t.co/L3V5oUk8FU",YvesMulkers,2021-01-02T10:40:21Z,https://twitter.com/YvesMulkers/status/1345319010829795329/photo/1,http://pbs.twimg.com/media/EquIc0yW4AIE4yj.jpg,NA,https://bit.ly/3b1Cw9O,NA,"TidyTuesday, data, TidyTuesday, data",1,2021,1345319010829795328,Links included,Image
"New #rstats blog post:

Automatic Rendering of a Plot with GitHub Actions!

A step by step tutorial for plotting frequently used libraries in #Tidytuesday and having it automatically update every time you participate and share your code on GitHub:

https://t.co/GBuoNouUOZ

#r4ds https://t.co/vWTS1aUvM5",Amit_Levinson,2021-01-03T13:30:11Z,https://twitter.com/Amit_Levinson/status/1345724137663246343/photo/1,http://pbs.twimg.com/tweet_video_thumb/Eqz49zNXUAAYbsi.jpg,NA,https://amitlevinson.com/blog/automated-plot-with-github-actions/,NA,"rstats, Tidytuesday, r4ds",1,2021,1345724137663246336,Links included,Image
"This past week's #TidyTuesday counts, posted through #rstats courtesy of #rtweet!

#TidyTuesday details: https://t.co/sElb4fcv3u
#TidyTuesday Tweets: https://t.co/h8n7HZw5iM https://t.co/3cButo1NXv",thomas_mock,2021-01-03T14:01:15Z,https://twitter.com/thomas_mock/status/1345731955778875392/photo/1,http://pbs.twimg.com/media/Eq0AFQXXUAAD2MN.png,NA,"http://bit.ly/tidyreadme, https://github.com/rfordatascience/tidytuesday/blob/master/tidytuesday_tweets/data.csv",NA,"TidyTuesday, rstats, rtweet, TidyTuesday, TidyTuesday",1,2021,1345731955778875392,Links included,Image
"Didn't participate in #Tidytuesday 2020 as much as I had wanted to (something with homeschooling &amp; personal stuff all while working full-time in #academia). But I had fun! Let's go 2021! 💪

#WomenWhoCode #R https://t.co/QZhvTrfebI",sil_aarts,2021-01-03T17:19:03Z,https://twitter.com/sil_aarts/status/1345781734718263296/photo/1,http://pbs.twimg.com/media/Eq0sJHsXEAIJM1q.jpg,NA,NA,NA,"Tidytuesday, academia, WomenWhoCode, R",1,2021,1345781734718263296,Images-only,Image
"I also found time for some #TidyTuesday action, just to keep my eye in, which included my first play with the fantastic #gt package. #rstats (2/3) https://t.co/q3ju46msh0",committedtotape,2021-01-03T20:32:14Z,https://twitter.com/committedtotape/status/1345830351378280451/photo/1,http://pbs.twimg.com/media/Eq1X2N5XMAAb4PH.jpg,And the year ended on a good note with my submission to the @rstudio table contest (based on a previous #TidyTuesday) getting an honourable mention. Hoping for better times and more #rstats in 2021! https://t.co/BF2Rp3mShE (3/3),https://blog.rstudio.com/2020/12/23/winners-of-the-2020-rstudio-table-contest/,NA,"TidyTuesday, gt, rstats",1,2021,1345830351378280448,Links included,Image
"#TidyTuesday for the week 52 of 2020
The Big Mac index for some former soviet and eastern european countries
Code for warming stripes and trend lines borrowed from @CedScherer table contest entry
#RStats https://t.co/G2AiVjDfLf",balt_ti,2021-01-04T12:13:56Z,https://twitter.com/balt_ti/status/1346067335027838977/photo/1,http://pbs.twimg.com/media/Eq4wjqiXYAI61qe.jpg,NA,NA,CedScherer,"TidyTuesday, RStats",1,2021,1346067335027838976,Images-only,Image
"The @R4DScommunity welcomes you to week 2 of #TidyTuesday!  We're exploring Global Transit Costs!!

📁 https://t.co/sElb4fcv3u
🗞 https://t.co/yqG9IhGlpf

#r4ds #tidyverse #rstats #dataviz https://t.co/ZBp0Kj9jPb",thomas_mock,2021-01-04T16:02:25Z,https://twitter.com/thomas_mock/status/1346124836674936832/photo/1,http://pbs.twimg.com/media/Eq5lZSqXIAENceE.jpg,NA,"http://bit.ly/tidyreadme, http://bit.ly/2Xaw884",R4DScommunity,"TidyTuesday, r4ds, tidyverse, rstats, dataviz",1,2021,1346124836674936832,Links included,Image
"And last missed week of #TidyTuesday of 2020
Week 51 - American Ninja Warrior obstacles
Based on brilliant @geokaramanis graph with some modifications
#RStats https://t.co/exotqui5T2",balt_ti,2021-01-04T19:22:06Z,https://twitter.com/balt_ti/status/1346175090136936450/photo/1,http://pbs.twimg.com/media/Eq6S9HlW8AIgiX7.jpg,NA,NA,geokaramanis,"TidyTuesday, RStats",1,2021,1346175090136936448,Images-only,Image
"Hey #RStats, I know this is isn't about #TidyTuesday, but couldn't resist sharing this beautiful one.
code : https://t.co/eh7ag7bjsy https://t.co/eN9MzXGspo",Bennour007sin,2021-01-04T20:39:02Z,https://twitter.com/Bennour007sin/status/1346194449613926400/photo/1,http://pbs.twimg.com/media/Eq6kM4eW8AYX7fv.jpg,NA,https://github.com/bennour007/poverty,NA,"RStats, TidyTuesday",1,2021,1346194449613926400,Links included,"Unless we test this statistically we can't really be sure of the nature of the relationship between the poverty rates and the dropout rates from secondary schools. This is rendered using data from the Tunisian government, and done with ggplot2."
"This week in #tidytuesday, the costs of urban transport projects! Costliest projects in North-America and Oceania. Europe gradually increasing whereas Asia had a boom in the past few years. Code at: https://t.co/EJR9qNAGCc https://t.co/dtsJV4FNBf",TeunvandenBrand,2021-01-04T22:06:15Z,https://twitter.com/TeunvandenBrand/status/1346216399644094465/photo/1,http://pbs.twimg.com/media/Eq64GJdXUAAvaRO.png,NA,https://github.com/teunbrand/tidytuesdayscripts/blob/master/scripts/2021_01_04_Transit_Costs.R,NA,tidytuesday,1,2021,1346216399644094464,Links included,Image
"#rstats resolution: spend time writing functions that will save you time 

1. custom ggplot theme 

2. a ggeasy-esque wrapper for scale_y_continuous(expand = c(0.0)) thanks @carroll_jono for the ggeasy inspiration

Trying them out with some #TidyTuesday 

https://t.co/zp35VOmc5b https://t.co/mDglX6RckZ",JenRichmondPhD,2021-01-05T03:19:36Z,https://twitter.com/JenRichmondPhD/status/1346295253364424704/photo/1,http://pbs.twimg.com/media/Eq7y24NUUAElULc.jpg,NA,http://jenrichmond.rbind.io/post/2021-01-05-functions-to-save-you-time/,carroll_jono,"rstats, TidyTuesday",1,2021,1346295253364424704,Links included,Image
"Finally on actual tuesday
First #TidyTuesday of the year - table of transit projects costs for some european countries https://t.co/hjbReNeR1T
#RStats https://t.co/1f6FAFPD7x",balt_ti,2021-01-05T11:47:49Z,https://twitter.com/balt_ti/status/1346423150247096320/photo/1,http://pbs.twimg.com/media/Eq9y_RHW8AAI4Ql.jpg,NA,https://baltti.github.io/TidyTuesday/transit-cost-europe.html,NA,"TidyTuesday, RStats",1,2021,1346423150247096320,Links included,Image
"Feels good to be back doing #tidytuesday with a plot (or underground map) showing the mean number of stations per line over the last 20 years.

#rstats #dataviz https://t.co/IKdBAilF6v",henrywrover2,2021-01-05T12:13:20Z,https://twitter.com/henrywrover2/status/1346429574331170822/photo/1,http://pbs.twimg.com/media/Eq96ReSXMAA_lSm.png,NA,NA,NA,"tidytuesday, rstats, dataviz",1,2021,1346429574331170816,Images-only,Image
"Global transit projects data for #TidyTuesday 

I am really digging this project timelines chart

Code: https://t.co/157fXjr0Ft

#datascience #dataviz #rstats #projectmanagement https://t.co/aXJLeOPnNR",mwehinger,2021-01-05T12:41:51Z,https://twitter.com/mwehinger/status/1346436750650982409/photo/1,http://pbs.twimg.com/media/Eq-A0rOUwAIQ_M2.jpg,NA,https://git.io/JLbDu,NA,"TidyTuesday, datascience, dataviz, rstats, projectmanagement",1,2021,1346436750650982400,Links included,Image
"First #tidytuesday of the year! 

This week's data set comes from the Transit Costs Project (https://t.co/wvhPsx8LNE). 

I looked at the relationship between average rail cost/KM and corruption ranking (using @anticorruption's data).

Not much of a relationship!
#rstats #dataviz https://t.co/YzYO8a9Dsm",alexlusco,2021-01-05T13:53:28Z,https://twitter.com/alexlusco/status/1346454775211171842/photo/1,http://pbs.twimg.com/media/Eq-Q3KCXIAY86vw.jpg,NA,https://transitcosts.com/,anticorruption,"tidytuesday, rstats, dataviz",1,2021,1346454775211171840,Links included,Image
"A 2021 resolution was to do more coding (which brings me joy), and so I’m going to make a concerted effort to join in on the #TidyTuesday.  Lots of firsts in this plot for me (e.g., using flag icons), and lots to keep learning (e.g., tasteful fonts)

Code: https://t.co/dYbt5WdRIT https://t.co/n8mCIvn04J",JohnSakaluk,2021-01-05T15:00:45Z,https://twitter.com/JohnSakaluk/status/1346471704244092928/photo/1,http://pbs.twimg.com/media/Eq-g4DLUwAM5KJI.jpg,NA,https://github.com/jsakaluk/TidyTuesday/tree/master/Infrastructure,NA,TidyTuesday,1,2021,1346471704244092928,Links included,Image
